Statue of Liberty|تمثال الحرية
Eiffel Tower|برج إيفل
Great Wall of China|سور الصين العظيم
Machu Picchu|ماشوبتشو
Pyramids of Giza|أهرام الجيزة
Colosseum|الكولوسيوم
Taj Mahal|تاج محل
Sydney Opera House|دار الأوبرا في سيدني
Stonehenge|ستونهينج
Christ the Redeemer|المسيح الفادي
Acropolis of Athens|الأكروبوليس في أثينا
Hagia Sophia|آيا صوفيا
Burj Khalifa|برج خليفة
Leaning Tower of Pisa|برج بيزا المائل
Big Ben|بيغ بن
Angkor Wat|أنغكور وات
Neuschwanstein Castle|قلعة نويشفانشتاين
Petra|البتراء
Chichen Itza|تشيتشن إيتزا
Mount Rushmore|جبل راشمور
The Clock Towers|أبراج الساعة
